Id,OverallQual,ExterQual,TotalBsmtSF,GrLivArea
1461,5,3,882,896
1462,6,3,1329,1329
1463,5,3,928,1629
1464,6,3,926,1604
1465,8,4,1280,1280
1466,6,3,763,1655
1467,6,3,1168,1187
1468,6,3,789,1465
1469,7,3,1300,1341
1470,4,3,882,882
1471,7,4,1405,1337
1472,6,3,483,987
1473,5,3,525,1092
1474,6,3,855,1456
1475,7,3,836,836
1476,9,5,1590,2334
1477,8,4,1544,1544
1478,9,4,1698,1698
1479,8,4,1822,1822
1480,9,5,2846,2696
1481,8,4,1671,2250
1482,8,4,1370,1370
1483,6,4,1324,1324
1484,7,4,1145,1145
1485,7,4,384,1374
1486,7,4,847,1733
1487,8,4,1629,2475
1488,8,4,1595,1595
1489,7,4,1218,1218
1490,6,4,1468,1468
1491,7,4,831,1659
1492,5,3,816,1012
1493,6,3,1208,1494
1494,8,4,1231,2349
1495,8,4,1390,2225
1496,7,4,1488,1488
1497,7,4,840,1680
1498,7,4,600,1200
1499,7,4,600,1200
1500,6,4,600,1236
1501,6,4,756,1512
1502,7,4,530,1080
1503,8,4,1642,1418
1504,8,4,975,1848
1505,7,4,1492,1492
1506,6,3,1829,1829
1507,6,3,1280,2495
1508,6,3,1224,1891
1509,6,3,715,1645
1510,5,3,1232,1232
1511,5,3,1209,1209
1512,5,3,1510,1510
1513,6,3,533,1775
1514,5,3,1728,1728
1515,5,4,1140,2461
1516,6,3,782,1556
1517,6,3,1080,1128
1518,5,3,1604,1604
1519,7,4,1480,1480
1520,5,3,1143,1143
1521,5,3,1206,1206
1522,6,3,1244,1580
1523,4,3,832,1337
1524,5,3,864,1064
1525,5,3,972,972
1526,5,3,988,988
1527,4,3,576,985
1528,6,3,816,1224
1529,5,3,1175,1175
1530,6,3,1395,1395
1531,4,3,709,1844
1532,5,3,936,936
1533,5,3,1347,1347
1534,6,3,827,1251
1535,5,3,1027,1633
1536,5,3,1008,1245
1537,2,3,678,832
1538,8,4,930,1566
1539,8,4,346,2268
1540,5,3,840,2256
1541,6,3,738,1470
1542,5,3,988,1612
1543,7,3,1108,2068
1544,4,3,765,765
1545,6,3,608,1132
1546,6,3,572,1196
1547,5,3,835,1453
1548,6,3,780,1416
1549,5,3,528,1040
